glaive_of_the_aspects;Glaive of the Aspects
scimitar_of_sirocco;Scimitar of Sirocco
staff_of_ammunae;Staff of Ammunae
dustbringer;Dustbringer
valanyr;Val'anyr, Hammer of Ancient Kings
puzzle_box_of_yogg_saron;Puzzle Box of Yogg-Saron
twirling_longbow;Twirling Longbow
spear_of_xuen;Spear of Xuen
umbrella_of_chiji;Umbrella of Chi'ji
amulet_of_rukhmar;Amulet of Rukhmar
dream_of_argus;Dream of Argus
grimoire_of_the_nameless_void;Grimoire of the Nameless Void
gronnsbane;Gronnsbane
gutreks_cleaver;Gutrek's Cleaver
headdress_of_the_first_shaman;Headdress of the First Shaman
warmaul_of_the_warmaul_chieftain;Warmaul of the Warmaul Chieftain
beakbreaker_of_terokk;Beakbreaker of Terokk
zinrokh;Zin'rokh, Destroyer of Worlds
fetish_of_hireek;Fetish of Hir'eek
bwonsamdi_voodoo_mask;Bwonsamdi Voodoo Mask
rezan_idol;Rezan Idol
jagged_blade_of_the_drust;Jagged Blade of the Drust
soul_coffer;Soul Coffer
fetish_of_the_tormented_mind;Fetish of the Tormented Mind
ritual_fetish;Ritual Fetish
blade_of_northern_kings;Blade of Northern Kings
brinebeards_shanker;Brinebeard's Shanker
crimson_captains_hat;Crimson Captain's Hat
