 wwu_archaeology.10.title: "Major Discovery: Apocalypse"
 wwu_archaeology.10.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£apocalypse_icon£\n\n\nLORE HERE"
 wwu_archaeology.10.option.a: "Excellent find!"

 wwu_archaeology.11.title: "Major Discovery: Twinblades of the Deceiver"
 wwu_archaeology.11.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£twinblades_of_the_deceiver_icon£\n\n\nLORE HERE"
 wwu_archaeology.11.option.a: "Excellent find!"

 wwu_archaeology.12.title: "Major Discovery: Thas'dorah"
 wwu_archaeology.12.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£thasdorah_icon£\n\n\nLORE HERE"
 wwu_archaeology.12.option.a: "Excellent find!"

 wwu_archaeology.13.title: "Major Discovery: Aluneth"
 wwu_archaeology.13.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£aluneth_icon£\n\n\nLORE HERE"
 wwu_archaeology.13.option.a: "Excellent find!"

 wwu_archaeology.14.title: "Major Discovery: Sheilun"
 wwu_archaeology.14.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£sheilun_icon£\n\n\nLORE HERE"
 wwu_archaeology.14.option.a: "Excellent find!"

 wwu_archaeology.15.title: "Major Discovery: Ashbringer"
 wwu_archaeology.15.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£ashbringer_icon£\n\n\nLORE HERE"
 wwu_archaeology.15.option.a: "Excellent find!"

 wwu_archaeology.16.title: "Major Discovery: Xalatath"
 wwu_archaeology.16.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£xalatath_icon£\n\n\nLORE HERE"
 wwu_archaeology.16.option.a: "Excellent find!"

 wwu_archaeology.17.title: "Major Discovery: Doomhammer"
 wwu_archaeology.17.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£doomhammer_icon£\n\n\nLORE HERE"
 wwu_archaeology.17.option.a: "Excellent find!"

 wwu_archaeology.18.title: "Major Discovery: Dreadblades"
 wwu_archaeology.18.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£dreadblades_icon£\n\n\nLORE HERE"
 wwu_archaeology.18.option.a: "Excellent find!"

 wwu_archaeology.19.title: "Major Discovery: Skull of Man'ari"
 wwu_archaeology.19.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£skull_of_manari_icon£\n\n\nLORE HERE"
 wwu_archaeology.19.option.a: "Excellent find!"

 wwu_archaeology.20.title: "Major Discovery: Warswords of Valarjar"
 wwu_archaeology.20.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£warswords_of_valarjar_icon£\n\n\nLORE HERE"
 wwu_archaeology.20.option.a: "Excellent find!"

 wwu_archaeology.21.title: "Major Discovery: Scythe of Elune"
 wwu_archaeology.21.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£scythe_of_elune_icon£\n\n\nLORE HERE"
 wwu_archaeology.21.option.a: "Excellent find!"

 wwu_archaeology.22.title: "Major Discovery: Maw of the Damned"
 wwu_archaeology.22.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£maw_of_the_damned_icon£\n\n\nLORE HERE"
 wwu_archaeology.22.option.a: "Excellent find!"

 wwu_archaeology.23.title: "Major Discovery: Blades of the Fallen Prince"
 wwu_archaeology.23.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£blades_of_the_fallen_prince_icon£\n\n\nLORE HERE"
 wwu_archaeology.23.option.a: "Excellent find!"

 wwu_archaeology.24.title: "Major Discovery: Aldrachi Warblades"
 wwu_archaeology.24.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£aldrachi_warblades_icon£\n\n\nLORE HERE"
 wwu_archaeology.24.option.a: "Excellent find!"

 wwu_archaeology.25.title: "Major Discovery: Fangs of Ashamane"
 wwu_archaeology.25.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£fangs_of_ashamane_icon£\n\n\nLORE HERE"
 wwu_archaeology.25.option.a: "Excellent find!"

 wwu_archaeology.26.title: "Major Discovery: Claws of Ursoc"
 wwu_archaeology.26.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£claws_of_ursoc_icon£\n\n\nLORE HERE"
 wwu_archaeology.26.option.a: "Excellent find!"

 wwu_archaeology.27.title: "Major Discovery: G'Hanir"
 wwu_archaeology.27.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£ghanir_icon£\n\n\nLORE HERE"
 wwu_archaeology.27.option.a: "Excellent find!"

 wwu_archaeology.28.title: "Major Discovery: Titanstrike"
 wwu_archaeology.28.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£titanstrike_icon£\n\n\nLORE HERE"
 wwu_archaeology.28.option.a: "Excellent find!"

 wwu_archaeology.29.title: "Major Discovery: Talonclaw"
 wwu_archaeology.29.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£talonclaw_icon£\n\n\nLORE HERE"
 wwu_archaeology.29.option.a: "Excellent find!"

 wwu_archaeology.30.title: "Major Discovery: Felo'melorn"
 wwu_archaeology.30.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£felomelorn_icon£\n\n\nLORE HERE"
 wwu_archaeology.30.option.a: "Excellent find!"

 wwu_archaeology.31.title: "Major Discovery: Ebonchill"
 wwu_archaeology.31.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£ebonchill_icon£\n\n\nLORE HERE"
 wwu_archaeology.31.option.a: "Excellent find!"

 wwu_archaeology.32.title: "Major Discovery: Fu Zan"
 wwu_archaeology.32.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£fu_zan_icon£\n\n\nLORE HERE"
 wwu_archaeology.32.option.a: "Excellent find!"

 wwu_archaeology.33.title: "Major Discovery: Fists of the Heavens"
 wwu_archaeology.33.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£fists_of_the_heavens_icon£\n\n\nLORE HERE"
 wwu_archaeology.33.option.a: "Excellent find!"

 wwu_archaeology.34.title: "Major Discovery: The Silver Hand"
