 wwu_artifact_heist.10.title: "Loss of Apocalypse"
 wwu_artifact_heist.10.desc: "\n[Root.GetArtifactUnlockSpacer]£apocalypse_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.10.option.a: "Curses!"

 wwu_artifact_heist.11.title: "Loss of Twinblades of the Deceiver"
 wwu_artifact_heist.11.desc: "\n[Root.GetArtifactUnlockSpacer]£twinblades_of_the_deceiver_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.11.option.a: "Curses!"

 wwu_artifact_heist.12.title: "Loss of Thas'dorah"
 wwu_artifact_heist.12.desc: "\n[Root.GetArtifactUnlockSpacer]£thasdorah_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.12.option.a: "Curses!"

 wwu_artifact_heist.13.title: "Loss of Aluneth"
 wwu_artifact_heist.13.desc: "\n[Root.GetArtifactUnlockSpacer]£aluneth_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.13.option.a: "Curses!"

 wwu_artifact_heist.14.title: "Loss of Sheilun"
 wwu_artifact_heist.14.desc: "\n[Root.GetArtifactUnlockSpacer]£sheilun_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.14.option.a: "Curses!"

 wwu_artifact_heist.15.title: "Loss of Ashbringer"
 wwu_artifact_heist.15.desc: "\n[Root.GetArtifactUnlockSpacer]£ashbringer_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.15.option.a: "Curses!"

 wwu_artifact_heist.16.title: "Loss of Xalatath"
 wwu_artifact_heist.16.desc: "\n[Root.GetArtifactUnlockSpacer]£xalatath_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.16.option.a: "Curses!"

 wwu_artifact_heist.17.title: "Loss of Doomhammer"
 wwu_artifact_heist.17.desc: "\n[Root.GetArtifactUnlockSpacer]£doomhammer_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.17.option.a: "Curses!"

 wwu_artifact_heist.18.title: "Loss of Dreadblades"
 wwu_artifact_heist.18.desc: "\n[Root.GetArtifactUnlockSpacer]£dreadblades_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.18.option.a: "Curses!"

 wwu_artifact_heist.19.title: "Loss of Skull of Man'ari"
 wwu_artifact_heist.19.desc: "\n[Root.GetArtifactUnlockSpacer]£skull_of_manari_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.19.option.a: "Curses!"

 wwu_artifact_heist.20.title: "Loss of Warswords of Valarjar"
 wwu_artifact_heist.20.desc: "\n[Root.GetArtifactUnlockSpacer]£warswords_of_valarjar_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.20.option.a: "Curses!"

 wwu_artifact_heist.21.title: "Loss of Scythe of Elune"
 wwu_artifact_heist.21.desc: "\n[Root.GetArtifactUnlockSpacer]£scythe_of_elune_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.21.option.a: "Curses!"

 wwu_artifact_heist.22.title: "Loss of Maw of the Damned"
 wwu_artifact_heist.22.desc: "\n[Root.GetArtifactUnlockSpacer]£maw_of_the_damned_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.22.option.a: "Curses!"

 wwu_artifact_heist.23.title: "Loss of Blades of the Fallen Prince"
 wwu_artifact_heist.23.desc: "\n[Root.GetArtifactUnlockSpacer]£blades_of_the_fallen_prince_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.23.option.a: "Curses!"

 wwu_artifact_heist.24.title: "Loss of Aldrachi Warblades"
 wwu_artifact_heist.24.desc: "\n[Root.GetArtifactUnlockSpacer]£aldrachi_warblades_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.24.option.a: "Curses!"

 wwu_artifact_heist.25.title: "Loss of Fangs of Ashamane"
 wwu_artifact_heist.25.desc: "\n[Root.GetArtifactUnlockSpacer]£fangs_of_ashamane_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.25.option.a: "Curses!"

 wwu_artifact_heist.26.title: "Loss of Claws of Ursoc"
 wwu_artifact_heist.26.desc: "\n[Root.GetArtifactUnlockSpacer]£claws_of_ursoc_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.26.option.a: "Curses!"

 wwu_artifact_heist.27.title: "Loss of G'Hanir"
 wwu_artifact_heist.27.desc: "\n[Root.GetArtifactUnlockSpacer]£ghanir_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.27.option.a: "Curses!"

 wwu_artifact_heist.28.title: "Loss of Titanstrike"
 wwu_artifact_heist.28.desc: "\n[Root.GetArtifactUnlockSpacer]£titanstrike_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.28.option.a: "Curses!"

 wwu_artifact_heist.29.title: "Loss of Talonclaw"
 wwu_artifact_heist.29.desc: "\n[Root.GetArtifactUnlockSpacer]£talonclaw_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.29.option.a: "Curses!"

 wwu_artifact_heist.30.title: "Loss of Felo'melorn"
 wwu_artifact_heist.30.desc: "\n[Root.GetArtifactUnlockSpacer]£felomelorn_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.30.option.a: "Curses!"

 wwu_artifact_heist.31.title: "Loss of Ebonchill"
 wwu_artifact_heist.31.desc: "\n[Root.GetArtifactUnlockSpacer]£ebonchill_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.31.option.a: "Curses!"

 wwu_artifact_heist.32.title: "Loss of Fu Zan"
 wwu_artifact_heist.32.desc: "\n[Root.GetArtifactUnlockSpacer]£fu_zan_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.32.option.a: "Curses!"

 wwu_artifact_heist.33.title: "Loss of Fists of the Heavens"
 wwu_artifact_heist.33.desc: "\n[Root.GetArtifactUnlockSpacer]£fists_of_the_heavens_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.33.option.a: "Curses!"

 wwu_artifact_heist.34.title: "Loss of The Silver Hand"
 wwu_artifact_heist.34.desc: "\n[Root.GetArtifactUnlockSpacer]£silver_hand_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.34.option.a: "Curses!"

 wwu_artifact_heist.35.title: "Loss of Truthguard"
 wwu_artifact_heist.35.desc: "\n[Root.GetArtifactUnlockSpacer]£truthguard_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.35.option.a: "Curses!"

 wwu_artifact_heist.36.title: "Loss of Light's Wrath"
 wwu_artifact_heist.36.desc: "\n[Root.GetArtifactUnlockSpacer]£lights_wrath_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.36.option.a: "Curses!"

 wwu_artifact_heist.37.title: "Loss of T'uure"
 wwu_artifact_heist.37.desc: "\n[Root.GetArtifactUnlockSpacer]£tuure_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.37.option.a: "Curses!"

 wwu_artifact_heist.38.title: "Loss of Kingslayers"
 wwu_artifact_heist.38.desc: "\n[Root.GetArtifactUnlockSpacer]£kingslayers_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.38.option.a: "Curses!"

 wwu_artifact_heist.39.title: "Loss of Fangs of the Devourer"
 wwu_artifact_heist.39.desc: "\n[Root.GetArtifactUnlockSpacer]£fangs_of_the_devourer_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.39.option.a: "Curses!"

 wwu_artifact_heist.40.title: "Loss of Fist of Ra-den"
 wwu_artifact_heist.40.desc: "\n[Root.GetArtifactUnlockSpacer]£fist_of_raden_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.40.option.a: "Curses!"

 wwu_artifact_heist.41.title: "Loss of Sharas'dal"
 wwu_artifact_heist.41.desc: "\n[Root.GetArtifactUnlockSpacer]£sharasdal_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.41.option.a: "Curses!"

 wwu_artifact_heist.42.title: "Loss of Ulthalesh"
 wwu_artifact_heist.42.desc: "\n[Root.GetArtifactUnlockSpacer]£ulthalesh_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.42.option.a: "Curses!"

 wwu_artifact_heist.43.title: "Loss of Scepter of Sargeras"
 wwu_artifact_heist.43.desc: "\n[Root.GetArtifactUnlockSpacer]£scepter_of_sargeras_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.43.option.a: "Curses!"

 wwu_artifact_heist.44.title: "Loss of Strom'kar"
 wwu_artifact_heist.44.desc: "\n[Root.GetArtifactUnlockSpacer]£stromkar_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.44.option.a: "Curses!"

 wwu_artifact_heist.45.title: "Loss of Scale of the Earth-warder"
 wwu_artifact_heist.45.desc: "\n[Root.GetArtifactUnlockSpacer]£scale_of_the_earthwarder_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.45.option.a: "Curses!"

 wwu_artifact_heist.46.title: "Loss of Underlight Angler"
 wwu_artifact_heist.46.desc: "\n[Root.GetArtifactUnlockSpacer]£underlight_angler_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.46.option.a: "Curses!"

 wwu_artifact_heist.47.title: "Loss of Glaive of the Aspects"
 wwu_artifact_heist.47.desc: "\n[Root.GetArtifactUnlockSpacer]£glaive_of_the_aspects_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.47.option.a: "Curses!"

 wwu_artifact_heist.48.title: "Loss of Scimitar of Sirocco"
