 wwu_artifact_repository.10.title: "Apocalypse"
 wwu_artifact_repository.10.desc: "\n[Root.GetArtifactUnlockSpacer]£apocalypse_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.10.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.10.option.exit: "Exit"

 wwu_artifact_repository.11.title: "Twinblades of the Deceiver"
 wwu_artifact_repository.11.desc: "\n[Root.GetArtifactUnlockSpacer]£twinblades_of_the_deceiver_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.11.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.11.option.exit: "Exit"

 wwu_artifact_repository.12.title: "Thas'dorah"
 wwu_artifact_repository.12.desc: "\n[Root.GetArtifactUnlockSpacer]£thasdorah_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.12.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.12.option.exit: "Exit"

 wwu_artifact_repository.13.title: "Aluneth"
 wwu_artifact_repository.13.desc: "\n[Root.GetArtifactUnlockSpacer]£aluneth_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.13.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.13.option.exit: "Exit"

 wwu_artifact_repository.14.title: "Sheilun"
 wwu_artifact_repository.14.desc: "\n[Root.GetArtifactUnlockSpacer]£sheilun_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.14.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.14.option.exit: "Exit"

 wwu_artifact_repository.15.title: "Ashbringer"
 wwu_artifact_repository.15.desc: "\n[Root.GetArtifactUnlockSpacer]£ashbringer_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.15.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.15.option.exit: "Exit"

 wwu_artifact_repository.16.title: "Xalatath"
 wwu_artifact_repository.16.desc: "\n[Root.GetArtifactUnlockSpacer]£xalatath_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.16.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.16.option.exit: "Exit"

 wwu_artifact_repository.17.title: "Doomhammer"
 wwu_artifact_repository.17.desc: "\n[Root.GetArtifactUnlockSpacer]£doomhammer_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.17.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.17.option.exit: "Exit"

 wwu_artifact_repository.18.title: "Dreadblades"
 wwu_artifact_repository.18.desc: "\n[Root.GetArtifactUnlockSpacer]£dreadblades_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.18.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.18.option.exit: "Exit"

 wwu_artifact_repository.19.title: "Skull of Man'ari"
 wwu_artifact_repository.19.desc: "\n[Root.GetArtifactUnlockSpacer]£skull_of_manari_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.19.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.19.option.exit: "Exit"

 wwu_artifact_repository.20.title: "Warswords of Valarjar"
 wwu_artifact_repository.20.desc: "\n[Root.GetArtifactUnlockSpacer]£warswords_of_valarjar_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.20.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.20.option.exit: "Exit"

 wwu_artifact_repository.21.title: "Scythe of Elune"
 wwu_artifact_repository.21.desc: "\n[Root.GetArtifactUnlockSpacer]£scythe_of_elune_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.21.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.21.option.exit: "Exit"

 wwu_artifact_repository.22.title: "Maw of the Damned"
 wwu_artifact_repository.22.desc: "\n[Root.GetArtifactUnlockSpacer]£maw_of_the_damned_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.22.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.22.option.exit: "Exit"

 wwu_artifact_repository.23.title: "Blades of the Fallen Prince"
 wwu_artifact_repository.23.desc: "\n[Root.GetArtifactUnlockSpacer]£blades_of_the_fallen_prince_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.23.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.23.option.exit: "Exit"

 wwu_artifact_repository.24.title: "Aldrachi Warblades"
 wwu_artifact_repository.24.desc: "\n[Root.GetArtifactUnlockSpacer]£aldrachi_warblades_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.24.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.24.option.exit: "Exit"

 wwu_artifact_repository.25.title: "Fangs of Ashamane"
 wwu_artifact_repository.25.desc: "\n[Root.GetArtifactUnlockSpacer]£fangs_of_ashamane_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.25.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.25.option.exit: "Exit"

 wwu_artifact_repository.26.title: "Claws of Ursoc"
 wwu_artifact_repository.26.desc: "\n[Root.GetArtifactUnlockSpacer]£claws_of_ursoc_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.26.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.26.option.exit: "Exit"

 wwu_artifact_repository.27.title: "G'Hanir"
 wwu_artifact_repository.27.desc: "\n[Root.GetArtifactUnlockSpacer]£ghanir_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.27.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.27.option.exit: "Exit"

 wwu_artifact_repository.28.title: "Titanstrike"
 wwu_artifact_repository.28.desc: "\n[Root.GetArtifactUnlockSpacer]£titanstrike_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.28.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.28.option.exit: "Exit"

 wwu_artifact_repository.29.title: "Talonclaw"
 wwu_artifact_repository.29.desc: "\n[Root.GetArtifactUnlockSpacer]£talonclaw_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.29.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.29.option.exit: "Exit"

 wwu_artifact_repository.30.title: "Felo'melorn"
 wwu_artifact_repository.30.desc: "\n[Root.GetArtifactUnlockSpacer]£felomelorn_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.30.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.30.option.exit: "Exit"

 wwu_artifact_repository.31.title: "Ebonchill"
 wwu_artifact_repository.31.desc: "\n[Root.GetArtifactUnlockSpacer]£ebonchill_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.31.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.31.option.exit: "Exit"

 wwu_artifact_repository.32.title: "Fu Zan"
 wwu_artifact_repository.32.desc: "\n[Root.GetArtifactUnlockSpacer]£fu_zan_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.32.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.32.option.exit: "Exit"

 wwu_artifact_repository.33.title: "Fists of the Heavens"
 wwu_artifact_repository.33.desc: "\n[Root.GetArtifactUnlockSpacer]£fists_of_the_heavens_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.33.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.33.option.exit: "Exit"

 wwu_artifact_repository.34.title: "The Silver Hand"
 wwu_artifact_repository.34.desc: "\n[Root.GetArtifactUnlockSpacer]£silver_hand_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.34.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.34.option.exit: "Exit"

 wwu_artifact_repository.35.title: "Truthguard"
 wwu_artifact_repository.35.desc: "\n[Root.GetArtifactUnlockSpacer]£truthguard_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.35.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.35.option.exit: "Exit"

 wwu_artifact_repository.36.title: "Light's Wrath"
 wwu_artifact_repository.36.desc: "\n[Root.GetArtifactUnlockSpacer]£lights_wrath_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.36.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.36.option.exit: "Exit"

 wwu_artifact_repository.37.title: "T'uure"
 wwu_artifact_repository.37.desc: "\n[Root.GetArtifactUnlockSpacer]£tuure_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.37.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.37.option.exit: "Exit"

 wwu_artifact_repository.38.title: "Kingslayers"
 wwu_artifact_repository.38.desc: "\n[Root.GetArtifactUnlockSpacer]£kingslayers_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.38.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.38.option.exit: "Exit"

 wwu_artifact_repository.39.title: "Fangs of the Devourer"
 wwu_artifact_repository.39.desc: "\n[Root.GetArtifactUnlockSpacer]£fangs_of_the_devourer_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.39.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.39.option.exit: "Exit"

 wwu_artifact_repository.40.title: "Fist of Ra-den"
 wwu_artifact_repository.40.desc: "\n[Root.GetArtifactUnlockSpacer]£fist_of_raden_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.40.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.40.option.exit: "Exit"

 wwu_artifact_repository.41.title: "Sharas'dal"
 wwu_artifact_repository.41.desc: "\n[Root.GetArtifactUnlockSpacer]£sharasdal_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.41.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.41.option.exit: "Exit"

 wwu_artifact_repository.42.title: "Ulthalesh"
 wwu_artifact_repository.42.desc: "\n[Root.GetArtifactUnlockSpacer]£ulthalesh_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.42.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.42.option.exit: "Exit"

 wwu_artifact_repository.43.title: "Scepter of Sargeras"
 wwu_artifact_repository.43.desc: "\n[Root.GetArtifactUnlockSpacer]£scepter_of_sargeras_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.43.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.43.option.exit: "Exit"

 wwu_artifact_repository.44.title: "Strom'kar"
 wwu_artifact_repository.44.desc: "\n[Root.GetArtifactUnlockSpacer]£stromkar_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.44.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.44.option.exit: "Exit"

 wwu_artifact_repository.45.title: "Scale of the Earth-warder"
 wwu_artifact_repository.45.desc: "\n[Root.GetArtifactUnlockSpacer]£scale_of_the_earthwarder_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.45.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.45.option.exit: "Exit"

 wwu_artifact_repository.46.title: "Underlight Angler"
 wwu_artifact_repository.46.desc: "\n[Root.GetArtifactUnlockSpacer]£underlight_angler_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.46.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.46.option.exit: "Exit"

 wwu_artifact_repository.47.title: "Glaive of the Aspects"
 wwu_artifact_repository.47.desc: "\n[Root.GetArtifactUnlockSpacer]£glaive_of_the_aspects_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.47.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.47.option.exit: "Exit"

 wwu_artifact_repository.48.title: "Scimitar of Sirocco"
 wwu_artifact_repository.48.desc: "\n[Root.GetArtifactUnlockSpacer]£scimitar_of_sirocco_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.48.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.48.option.exit: "Exit"

 wwu_artifact_repository.49.title: "Staff of Ammunae"
 wwu_artifact_repository.49.desc: "\n[Root.GetArtifactUnlockSpacer]£staff_of_ammunae_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.49.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.49.option.exit: "Exit"

 wwu_artifact_repository.50.title: "Dustbringer"
 wwu_artifact_repository.50.desc: "\n[Root.GetArtifactUnlockSpacer]£dustbringer_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.50.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.50.option.exit: "Exit"

 wwu_artifact_repository.51.title: "Val'anyr, Hammer of Ancient Kings"
 wwu_artifact_repository.51.desc: "\n[Root.GetArtifactUnlockSpacer]£valanyr_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.51.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.51.option.exit: "Exit"

 wwu_artifact_repository.52.title: "Puzzle Box of Yogg-Saron"
 wwu_artifact_repository.52.desc: "\n[Root.GetArtifactUnlockSpacer]£puzzle_box_of_yogg_saron_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.52.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.52.option.exit: "Exit"

 wwu_artifact_repository.53.title: "Twirling Longbow"
 wwu_artifact_repository.53.desc: "\n[Root.GetArtifactUnlockSpacer]£twirling_longbow_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.53.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.53.option.exit: "Exit"

 wwu_artifact_repository.54.title: "Spear of Xuen"
 wwu_artifact_repository.54.desc: "\n[Root.GetArtifactUnlockSpacer]£spear_of_xuen_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.54.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.54.option.exit: "Exit"

 wwu_artifact_repository.55.title: "Umbrella of Chi'ji"
 wwu_artifact_repository.55.desc: "\n[Root.GetArtifactUnlockSpacer]£umbrella_of_chiji_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.55.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.55.option.exit: "Exit"

 wwu_artifact_repository.56.title: "Amulet of Rukhmar"
 wwu_artifact_repository.56.desc: "\n[Root.GetArtifactUnlockSpacer]£amulet_of_rukhmar_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.56.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.56.option.exit: "Exit"

 wwu_artifact_repository.57.title: "Dream of Argus"
 wwu_artifact_repository.57.desc: "\n[Root.GetArtifactUnlockSpacer]£dream_of_argus_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.57.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.57.option.exit: "Exit"

 wwu_artifact_repository.58.title: "Grimoire of the Nameless Void"
 wwu_artifact_repository.58.desc: "\n[Root.GetArtifactUnlockSpacer]£grimoire_of_the_nameless_void_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.58.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.58.option.exit: "Exit"

 wwu_artifact_repository.59.title: "Gronnsbane"
 wwu_artifact_repository.59.desc: "\n[Root.GetArtifactUnlockSpacer]£gronnsbane_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.59.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.59.option.exit: "Exit"

 wwu_artifact_repository.60.title: "Gutrek's Cleaver"
 wwu_artifact_repository.60.desc: "\n[Root.GetArtifactUnlockSpacer]£gutreks_cleaver_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.60.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.60.option.exit: "Exit"

 wwu_artifact_repository.61.title: "Headdress of the First Shaman"
 wwu_artifact_repository.61.desc: "\n[Root.GetArtifactUnlockSpacer]£headdress_of_the_first_shaman_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.61.option.make_primary: "Assign as Primary Artifact"
