# base_price = X			base price in $. (default is 1.0 if not specified
# goldtype = yes/no			This resource works like 'gold' if yes, using prices from mine-value in province instead of supply/demand and baseprice. Also creates gold-inflation

unknown                     = { base_price = 0 }
resource_common_wood        = { base_price = 2 }
resource_rare_wood          = { base_price = 4 }
resource_common_herbs       = { base_price = 2 }
resource_rare_herbs         = { base_price = 5 }
resource_common_ores        = { base_price = 2 }
resource_rare_ores          = { base_price = 5 }
resource_common_metals      = { base_price = 3 }
resource_rare_metals        = { base_price = 6 }
resource_common_skins       = { base_price = 1 }
resource_rare_skins         = { base_price = 3 }
resource_common_fish        = { base_price = 1 }
resource_rare_fish          = { base_price = 2 }
resource_common_cloth       = { base_price = 1 }
resource_rare_cloth         = { base_price = 2 }
resource_potions            = { base_price = 4 }
resource_dyes               = { base_price = 3 }
resource_melee_weaponry     = { base_price = 5 }
resource_plate_armor        = { base_price = 6 }
resource_scrolls            = { base_price = 5 }
resource_ranged_weaponry    = { base_price = 5 }
resource_bombs              = { base_price = 4 }
resource_devices            = { base_price = 8 }
resource_glyphs             = { base_price = 5 }
resource_gems               = { base_price = 6 }
resource_trinkets           = { base_price = 5 }
resource_mail_armor         = { base_price = 4 }
resource_leather_armor      = { base_price = 5 }
resource_bags               = { base_price = 8 }
resource_cloth_armor        = { base_price = 5 }
resource_magical_weaponry   = { base_price = 7 }
resource_fossils            = { base_price = 3 }
resource_artifacts          = { base_price = 6 }
resource_food               = { base_price = 1 }
resource_alcohol            = { base_price = 3 }
resource_banana             = { base_price = 2 }
resource_arcwine            = { base_price = 4 }
resource_beasts_of_burden   = { base_price = 5 }
resource_ground_mounts      = { base_price = 4 }
resource_flying_mounts      = { base_price = 8 }
resource_mana               = { base_price = 6 }
resource_anima              = { base_price = 6 }
resource_fel                = { base_price = 6 }
resource_arcane             = { base_price = 6 }
resource_oil                = { base_price = 6 }
resource_apexis             = { base_price = 5 }
resource_treasure           = { base_price = 0 goldtype = yes }
resource_slaves             = { base_price = 3 }
resource_kypari             = { base_price = 3 }
resource_moonwell           = { base_price = 4 }
