# Class culture groups
is_core_race = {
    OR = {
        culture_group = culture_group_draenei
        culture_group = culture_group_dwarven
        culture_group = culture_group_gnomish
        culture_group = culture_group_mecha_gnomish
        culture_group = culture_group_worgen
        culture_group = culture_group_human
        culture_group = culture_group_darnassian
        culture_group = culture_group_thalassian
        culture_group = culture_group_orc
        culture_group = culture_group_troll
        culture_group = culture_group_goblin
        culture_group = culture_group_tauren
        culture_group = culture_group_undead
        culture_group = culture_group_pandaren
        culture_group = culture_group_vulpera
        culture_group = culture_group_shalassian
        culture_group = culture_group_jinyu
        culture_group = culture_group_dragonkin
    }
}

# Non-class culture groups
is_non_class_race = {
    OR = {
        culture_group = culture_group_aqir
        culture_group = culture_group_nerubian
        culture_group = culture_group_mantid
        culture_group = culture_group_demonic
        culture_group = culture_group_satyr
        culture_group = culture_group_naga
        culture_group = culture_group_murloc
        culture_group = culture_group_scourge
        culture_group = culture_group_gnoll
        culture_group = culture_group_centaur
        culture_group = culture_group_furbolg
        culture_group = culture_group_wolvar
        culture_group = culture_group_gorloc
        culture_group = culture_group_kobold
        culture_group = culture_group_harpy
        culture_group = culture_group_quillboar
        culture_group = culture_group_trogg
        culture_group = culture_group_titan
        culture_group = culture_group_earthen
        culture_group = culture_group_grummle
        culture_group = culture_group_fire
        culture_group = culture_group_earth
        culture_group = culture_group_water
        culture_group = culture_group_air
        culture_group = culture_group_nature
        culture_group = culture_group_sha
        culture_group = culture_group_arrakoa
        culture_group = culture_group_fallen_arrakoa
        culture_group = culture_group_tuskarr
        culture_group = culture_group_mogu
        culture_group = culture_group_yaungol
        culture_group = culture_group_ethereal
        culture_group = culture_group_hozen
        culture_group = culture_group_taunka
        culture_group = culture_group_ice_giant
        culture_group = culture_group_sea_giant
        culture_group = culture_group_earth_giant
        culture_group = culture_forest_nymph
        culture_group = culture_frost_nymph
        culture_group = culture_crystal_nymph
        culture_group = culture_group_void
        culture_group = culture_group_tol_vir
        culture_group = culture_group_pygmy
        culture_group = culture_group_drogbar
        culture_group = culture_group_faldorei
        culture_group = culture_group_sethrak
        culture_group = culture_group_tortollan
        culture_group = culture_group_botani
        culture_group = culture_group_saberon
        culture_group = culture_group_gorilla
        culture_group = culture_group_rock_flayer
        primary_culture = culture_iron_dwarf
    }
}
