
# Demon Elite Guard

government 			= theocracy
add_government_reform = demonic_order_reform
mercantilism 		= 10 
technology_group 	= tech_scourge
religion			= fel
primary_culture 	= culture_scourge
add_accepted_culture = culture_dreadlord
capital = 2225


617.1.1 = {
    monarch = {
        name = "Tichondrius"
        dynasty = "the Darkener"
        culture = culture_dreadlord
        birth_date = 400.1.1
        adm = 5
        dip = 5
        mil = 6
    }

    setup_spellcaster_history = {
        APTITUDE = 4
        FINESSE = 4
        CONCENTRATION = 4
        MANA = 5
        fel = yes
    }
    set_ruler_flag = is_immortal
    set_ruler_flag = warlock_personality
    
	add_ruler_personality = cruel_personality
	add_ruler_personality = ruthless_personality
}


