is_city = yes 
owner = A62
controller = A62
add_core = A62

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_forest_troll
religion = voodoo

hre = no
trade_goods = unknown

598.1.1 = {
    owner = A10
    controller = A10
    add_core = A10

    culture = culture_lordaeron
    religion = holy_light
}

618.1.1 = { 
	owner = P62
	controller = P62
	add_core = P62
	culture = culture_lordaeron
    religion = holy_light
}

# Rise of the Qiraji
623.1.1 = { 
	add_core = A22
    add_core = SCE
	remove_core = P62
	owner = SCE
	controller = SCE
	religion = scarlet_light
}

# Cataclysm
631.1.1 = { 
	add_core = P12
	remove_core = A08
	remove_core = P62
	owner = P12
	controller = P12
	culture = culture_cultist
	religion = cult_of_the_damned
}

