is_city = yes
owner = GHR
controller = GHR
add_core = GHR

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_gnoll
religion = earth

hre = no
trade_goods = resource_common_metals


548.1.1 = {
    owner = B16
    controller = B16
    add_core = B16
	add_core = RRG

    culture = culture_gnoll
    religion = earth
}

# Second War
598.1.1 = {
    owner = U03
    controller = U03
    add_core = U03
    
    culture = culture_fel_orc
    religion = fel
}

# Rise of the Lich Kng
605.1.1 = {
	owner = B16
    controller = B16
    add_core = B16
    
    culture = culture_gnoll
    religion = earth
}
