
is_city = yes
owner = BLC
controller = BLC
add_core = BLC

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_lordaeron
religion = holy_light 

hre = no
trade_goods = resource_common_wood

# First War
592.1.1 = {
    owner = A08
    controller = A08
    add_core = A08
    
    culture = culture_lordaeron
    religion = holy_light
}

# The Third War
617.1.1 = { 
	owner = P52
	controller = P52
	add_core = P52
    
	culture = culture_scourge
	religion = cult_of_the_damned 
}

# The Frozen Throne
618.1.1 = { 
	add_core = SVH
	remove_core = A08
	owner = SVH
	controller = SVH
}

# Rise of the Qiraji
622.1.1 = { 
	add_core = A22
	add_core = CRL
	remove_core = SVH
	remove_core = A10
	owner = CRL
	controller = CRL
	religion = scarlet_light
}

# Cataclysm
631.1.1 = { 
	owner = X01
	controller = X01
	add_core = X01
	remove_core = A08
	remove_core = SVH
	remove_core = A10
	religion = fel
	culture = culture_forsaken 
}

