
is_city = yes 
owner = A62
controller = A62
add_core = A62

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_forest_troll
religion = voodoo

hre = no
trade_goods = lumber
 
add_permanent_province_modifier = {
    name = mountain_passage
    duration = -1
}

# The Burning Crusade
625.1.1 = {
	owner = P13
	controller = P13
	add_core = P13
	remove_core = P62
	culture = culture_death_knight
	religion = cult_of_the_damned
	base_tax = 1
	base_manpower = 2
	base_production = 2
}

# Wrath of the Lich King
626.1.1 = {
	owner = P13
	controller = P13
	add_core = P13
	remove_core = P62
	culture = culture_death_knight
	religion = forgotten_shadow
	base_tax = 1
	base_manpower = 2
	base_production = 2
}
