
is_city = yes
owner = A10
controller = A10
add_core = A10
add_core = LDC

base_tax = 2
base_production = 1
base_manpower = 3

culture = culture_lordaeron
religion = holy_light

hre = no
trade_goods = resource_ranged_weaponry


605.1.1 = {
    owner = A08
    controller = A08
    add_core = A08
	add_core = A10
	add_core = LDC
}

# The Third War
617.1.1 = { 
	owner = P52
	controller = P52
	add_core = P52
	remove_core = LDC
    remove_core = A10
	
	culture = culture_scourge
	religion = cult_of_the_damned 
}

# The Frozen Throne
618.1.1 = { 
	owner = SVH
	controller = SVH
	add_core = SVH
	remove_core = A08
}

619.1.1 = { 
	owner = P52
	controller = P52
	add_core = P52
	remove_core = SVH
    
	culture = culture_scourge
	religion = cult_of_the_damned 
}
