is_city = yes

owner = H04
controller = H04
add_core = H04

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_centaur
religion = shamanism

hre = no
trade_goods = unknown


617.1.1 = {
    owner = A46
	controller = A46
    add_core = A46
    
	culture = culture_orc
	religion = shamanism   
}

618.1.1 = {
    owner = A48
	controller = A48
    add_core = A48   
}

622.1.1 = {
    owner = RTC
    controller = RTC
	add_core = RTC
    remove_core = A48
	
    culture = culture_goblin
    religion = technomancy
    
    base_production = 2   
    
    trade_goods = resource_common_wood
}





