is_city = yes
owner = SHA
controller = SHA
add_core = SHA

base_tax = 2
base_production = 2
base_manpower = 3

culture = culture_draenei
religion = light_of_the_naaru

hre = no
trade_goods = resource_artifacts


590.1.1 = {
    owner = A40
    controller = A40
    add_core = A40
	remove_core = SHA
	
	culture = culture_orc
    religion = fel
}

# First War
592.1.1 = {
    owner = U03
    controller = U03
    add_core = U03
    remove_core = A40
}

598.1.1 = {
    owner = VOL
    controller = VOL
    add_core = VOL
    remove_core = U03
	
    base_tax = 3
    base_production = 2
    base_manpower = 3

    culture = culture_black_dragonflight
    religion = dragon_aspects
}

# Outlandification
600.1.1 = {
    
    owner = ---
    controller = ---
    remove_core = VOL
}
