is_city = yes
owner = ZOR
controller = ZOR
add_core = ZOR

base_tax = 2
base_production = 4
base_manpower = 4

culture = culture_botani
religion = sporemounds

hre = no
trade_goods = resource_common_herbs

590.1.1 = {
    owner = A40
    controller = A40
    add_core = A40
	remove_core = ZOR
	
	base_tax = 1
    base_production = 2
    base_manpower = 1
	
	culture = culture_orc
    religion = fel
}

598.1.1 = {
    owner = VOL
    controller = VOL
    add_core = VOL
    remove_core = A40
	
    base_tax = 2
    base_production = 2
    base_manpower = 3

    culture = culture_black_dragonflight
    religion = dragon_aspects
}

# Outlandification
600.1.1 = {
    
    owner = ---
    controller = ---
    remove_core = VOL
}
