
is_city = yes

owner = B15
controller = B15
add_core = B15
add_core = RTW
add_core = GLS

base_tax = 1
base_production = 2
base_manpower = 2

culture = culture_gnoll
religion = earth

hre = no
trade_goods = wine

# Second War
598.1.1 = {
    owner = U03
    controller = U03
    add_core = U03
    
    culture = culture_fel_orc
    religion = fel
}

# Beyond the Dark Portal
600.1.1 = {
	owner = B15
	controller = B15
	add_core = B15
	add_core = GLS
    
	religion = earth	
    culture = culture_gnoll
}

# Rise of the Qiraji
622.1.1 = { 
	owner = A07
	controller = A07 
	add_core = A07 
	religion = shadow
}

# The Burning Crusade
625.1.1 = { 
	owner = STW
	controller = STW
	remove_core = A07 
	religion = holy_light
}

