is_city = yes
owner = B47
controller = B47
add_core = B47

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_wolvar
religion = primitive

hre = no
trade_goods = unknown

600.1.1 = {
    owner = G30
    controller = G30
    add_core = G30
    
    culture = culture_ogre
    religion = earth
}

610.1.1 = { 
    owner = P11
    controller = P11
    add_core = P11
    
    culture = culture_scourge
    religion = cult_of_the_damned 
    
    trade_goods = naval_supplies
}

# The Third War
617.1.1 = { 
    owner = F38
    controller = F38
    add_core = F38
    
    culture = culture_lordaeron
    religion = holy_light
    
    capital = "Expedition Landing" 
}

618.1.1 = { 
    owner = P11
    controller = P11
    add_core = P11
    remove_core = F38
    
    culture = culture_scourge
    religion = cult_of_the_damned
}

