
is_city = yes

owner = A72
controller = A72
add_core = A72

base_tax = 1
base_production = 1
base_manpower = 2

culture = culture_jungle_troll
religion = hakkari

hre = no
trade_goods = fish

# Second War
598.1.1 = {
    owner = U03
    controller = U03
    add_core = U03
}

# Rise of the Lich Kng
605.1.1 = {
	owner = A72
    controller = A72
    add_core = A72
    
    culture = culture_jungle_troll
    religion = hakkari
}

631.1.1 = { 
	owner = A80
	controller = A80
	add_core = A80
	culture = culture_goblin
	religion = technomancy
}

