is_city = yes 
owner = P62
controller = P62
add_core = P62

base_tax = 2
base_production = 2
base_manpower = 2

culture = culture_lordaeron
religion = holy_light

hre = no
trade_goods = resource_scrolls


605.1.1 = {
    owner = A08
    controller = A08
    add_core = A08
	add_core = P62
}

# Rise of the Lich King
617.1.1 = { 
	owner = P62
	controller = P62
	add_core = P62
	remove_core = A08
	
	base_tax = 2
    base_production = 3
    base_manpower = 3
}

# Rise of the Qiraji
623.1.1 = { 
	owner = SCE
	controller = SCE
	add_core = A22
	add_core = SCE
	
	religion = scarlet_light 
}

# Cataclysm
631.1.1 = { 
	owner = X01
	controller = X01
	add_core = X01
	remove_core = P62
	religion = fel
	culture = culture_forsaken
}
