
# Redridge Gnolls
is_city = yes
owner = B17
controller = B17
add_core = B17
add_core = RRG

base_tax = 1
base_production = 2
base_manpower = 2

culture = culture_gnoll
religion = earth

hre = no
trade_goods = dark_iron

# Second War
598.1.1 = {
    owner = U03
    controller = U03
    add_core = U03
    
    culture = culture_fel_orc
    religion = fel
}

# Rise of the Lich Kng
605.1.1 = {
	owner = B17
    controller = B17
    add_core = B17
    
    culture = culture_gnoll
    religion = earth
}

# Rise of the Qiraji
622.1.1 = { 
	owner = B16
	controller = B16
	add_core = B16
    
	culture = culture_gnoll
	religion = earth
}

