is_city = yes
owner = GHR
controller = GHR
add_core = GHR
add_core = STW

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_gnoll
religion = earth

hre = no
trade_goods = resource_common_skins


548.1.1 = {
    owner = RRG
    controller = RRG
    add_core = RRG

    culture = culture_stormwindian
    religion = shadow
}

# Second War
598.1.1 = {
    owner = U03
    controller = U03
    add_core = U03
	remove_core = RRG
    
    culture = culture_fel_orc
    religion = fel
}

# Beyond the Dark Portal
600.1.1 = { 
    # Redridge
	owner = RRG
	controller = RRG
    add_core = RRG
	remove_core = U03
    
	culture = culture_stormwindian
	religion = holy_light 
}
