
is_city = yes

owner = RRG
controller = RRG
add_core = RRG

base_tax = 1
base_production = 1
base_manpower = 2

culture = culture_stormwindian
religion = holy_light

hre = no
trade_goods = cloth

# Second War
598.1.1 = {
    owner = U03
    controller = U03
    add_core = U03
    
    culture = culture_fel_orc
    religion = fel
}

# Beyond the Dark Portal
600.1.1 = { 
    owner = RRG
    controller = RRG
    add_core = RRG
    
    culture = culture_stormwindian
    religion = holy_light 
}

# Rise of the Qiraji
622.1.1 = {
    # Redridge
	owner = RRG
	controller = RRG
    add_core = RRG
    
	culture = culture_stormwindian
	religion = holy_light 
}
