is_city = yes
owner = WST
controller = WST
add_core = WST

base_tax = 1
base_production = 1
base_manpower = 1

culture = culture_stormwindian
religion = holy_light

hre = no
trade_goods = stone

# Second War
598.1.1 = {
    owner = U03
    controller = U03
    add_core = U03
    
    culture = culture_fel_orc
    religion = fel
}

# Rise of the Lich Kng
605.1.1 = {
    owner = WST
    controller = WST
    add_core = WST
    
    culture = culture_stormwindian
    religion = holy_light
}

# Rise of the Qiraji
622.1.1 = {
    owner = B15
    controller = B15
    add_core = B15
    
    culture = culture_gnoll
    religion = earth
}



