province;red;green;blue;name;x;
1;177;80;167;Shrine_of_Storms;;
2;27;70;200;Torrid_Abyss;;
3;27;65;200;Glistening_Swell;;
4;27;60;200;The_Glacial_Depths;;
5;27;55;200;Twilight_Deep;;
6;27;50;200;Lost_Expanse;;
7;50;100;200;Dread_Sea;;
8;50;105;200;Frigid_Gap;;
9;50;110;200;Abyssal_Waters;;
10;30;125;200;Inkgill_Waters;;
11;81;100;14;Tidebreak_Summit;;
12;26;135;200;Grim_Depths;;
13;140;100;0;Skittering_Ice;;
14;140;105;0;Ancient_Ruins;;
15;140;110;0;Bloodwake_Village;;
16;140;115;0;Caves_of_Communion;;
17;140;120;0;Frozen_Rise;;
18;140;125;0;Yeti_Den;;
19;140;130;0;Frozen_Waste;;
20;140;135;0;Icetusk_Hollow;;
21;140;140;0;Frigid_Waste;;
22;140;145;0;Ruins_of_Ickit;;
23;140;150;0;Dread_Wake;;
24;140;155;0;Zian_Ti_Ruins;;
25;140;160;0;Zian_Ti_Pits;;
26;140;165;0;Thundering_Waste;;
27;140;170;0;Northern_Tip;;
28;140;175;0;Bloodbark_Den;;
29;140;180;0;Swampglean;;
30;25;135;200;Troubled_Waters;;
31;25;100;200;Bleak_Sea;;
32;25;95;200;Kajaro_Sea;;
33;140;185;0;Limespoil;;
34;25;75;200;Desolate_Sea;;
35;25;65;200;Verdurous_Swell;;
36;140;190;0;Plundertown;;
37;140;195;0;Golden_Ridge;;
38;140;200;0;Temple_of_Kanel;;
39;145;100;0;Bloodstained_Thicket;;
40;145;105;0;Silver_Mound;;
41;24;60;200;Murky_Depths;;
42;24;65;200;Shining_Deep;;
43;24;70;200;Algid_Cleft;;
44;145;110;0;Swordwake_Ruins;;
45;145;115;0;Rustpoint_Slums;;
46;145;120;0;Parrot_Dens;;
47;24;120;200;Azuremyst_Gap;;
48;24;115;200;West_Beryl_Sea;;
49;24;110;200;Ancient_Depths;;
50;24;105;200;Chilling_Swell;;
51;23;110;200;Azure_Waters;;
52;23;115;200;Jagged_Deep;;
53;23;95;200;Twilight_Sea;;
54;23;100;200;Teldrassil_Expanse;;
55;23;105;200;Swirling_Deep;;
56;23;120;200;Gulf_of_Storms;;
57;145;125;0;Whispering_Shore;;
58;23;130;200;Tidefury_Sea;;
59;23;135;200;Sea_of_Uldum;;
60;22;75;200;Tranquil_Gap;;
61;22;95;200;Serene_Deep;;
62;145;130;0;Stones_of_Bewilderment;;
63;22;90;200;Howling_Nadir;;
64;22;85;200;Sea_of_Dread;;
65;22;100;200;Southpoint_Gulf;;
66;23;55;200;Silvermyst_Sea;;
67;23;65;200;Sea_of_Zoram;;
68;23;70;200;Ranazjar_Sea;;
69;22;150;200;Teldrassil_Waters;;
70;23;80;200;Forsaken_Depths;;
71;22;145;200;Sea_of_the_Cursed;;
72;22;110;200;Sea_of_Durotar;;
73;22;105;200;Dustwallow_Waters;;
74;145;135;0;Crimsonthorn_Den;;
75;145;140;0;Ritual_Mounds;;
76;23;90;200;Forbidding_Depths;;
77;24;90;200;Luminous_Sea;;
78;145;145;0;Duskthorn_Lair;;
79;23;60;200;Vivid_Depths;;
80;23;85;200;Skittering_Abyss;;
81;23;75;200;Tempestuous_Sea;;
82;23;140;200;Chilling_Waters;;
83;24;55;200;Whispering_Sea;;
84;145;150;0;Irontide_Island;;
85;21;55;200;Blackslit_Waters;;
86;21;50;200;Blood_Swell;;
87;20;150;200;East_Beryl_Sea;;
88;20;145;200;Talon_Sea;;
89;20;140;200;Teldrassil_Swell;;
90;20;135;200;Moonlit_Waters;;
91;20;120;200;Glacial_Sea;;
92;20;130;200;Moonlit_Depths;;
93;20;115;200;Dread_Reef;;
94;20;125;200;Ruttheran_Sea;;
95;20;110;200;Bitter_Sea;;
96;145;155;0;Golden_Isle;;
97;145;160;0;Verdant_Thicket;;
98;145;165;0;Irontide_Point;;
99;145;170;0;Greentooth_Den;;
100;145;175;0;Stonelance_Ruins;;
101;145;180;0;Rykards_Hideout;;
102;145;185;0;Consuming_Ridge;;
103;145;190;0;Bonetail_Ruins;;
104;145;195;0;Silverthrack;;
105;145;200;0;Whisperstone_Hills;;
106;141;100;0;Whispering_Mounds;;
107;21;75;200;Sea_of_Feralas;;
108;141;105;0;Wolf_Den;;
109;141;110;0;Bonestrewn_Shore;;
110;21;70;200;Sea_of_Dread;;
111;21;65;200;Seething_Deep;;
112;141;115;0;Illikars_Rise;;
113;141;120;0;Longtail_Peak;;
114;141;125;0;Gauroka_Valley;;
115;21;120;200;Swampy_Swell;;
116;22;55;200;Echo_Sea;;
117;22;80;200;Timeless_Sea;;
118;22;70;200;Sea_of_Tanaris;;
119;141;130;0;Dread_Thicket;;
120;141;135;0;Valley_of_Dread;;
121;141;140;0;Crimsonspire_Ridge;;
122;22;65;200;Razorpoint_Deep;;
123;141;145;0;Crimsonspire_Head;;
124;22;140;200;Brisk_Depths;;
125;141;150;0;Mottled_Ridge;;
